Date,breadth_down_pressure_close
2024-04-08,0.55
2024-04-09,0.28
2024-04-10,0.96
2024-04-11,0.05
2024-04-12,0.97
2024-04-15,0.97
2024-04-16,0.78
2024-04-17,0.95
2024-04-18,0.8
2024-04-19,0.96
2024-04-22,0.04
2024-04-23,0.04
2024-04-24,0.47
2024-04-25,0.94
2024-04-26,0.04
2024-04-29,0.02
2024-04-30,0.97
2024-05-01,0.96
2024-05-02,0.04
2024-05-03,0.03
2024-05-06,0.04
2024-05-07,0.3
2024-05-08,0.5
2024-05-09,0.06
2024-05-10,0.25
2024-05-13,0.53
2024-05-14,0.06
2024-05-15,0.03
2024-05-16,0.8
2024-05-17,0.32
2024-05-20,0.36
2024-05-21,0.11
2024-05-22,0.89
2024-05-23,0.96
2024-05-24,0.05
2024-05-28,0.46
2024-05-29,0.96
2024-05-30,0.95
2024-05-31,0.04
2024-06-03,0.33
2024-06-04,0.27
2024-06-05,0.03
2024-06-06,0.53
2024-06-07,0.66
2024-06-10,0.1
2024-06-11,0.07
2024-06-12,0.04
2024-06-13,0.13
2024-06-14,0.56
2024-06-17,0.05
2024-06-18,0.1
2024-06-20,0.87
2024-06-21,0.73
2024-06-24,0.95
2024-06-25,0.07
2024-06-26,0.25
2024-06-27,0.36
2024-06-28,0.94
2024-07-01,0.07
2024-07-02,0.05
2024-07-03,0.06
2024-07-05,0.06
