Date,pc_equity_close
2024-04-08,0.64
2024-04-09,0.72
2024-04-10,0.63
2024-04-11,0.63
2024-04-12,0.68
2024-04-15,0.64
2024-04-16,0.73
2024-04-17,1.13
2024-04-18,0.68
2024-04-19,0.65
2024-04-22,0.57
2024-04-23,0.65
2024-04-24,0.71
2024-04-25,0.68
2024-04-26,0.55
2024-04-29,0.61
2024-04-30,0.6
2024-05-01,0.84
2024-05-02,0.73
2024-05-03,0.6
2024-05-06,0.63
2024-05-07,0.72
2024-05-08,0.69
2024-05-09,0.55
2024-05-10,0.6
2024-05-13,0.57
2024-05-14,0.53
2024-05-15,0.57
2024-05-16,0.59
2024-05-17,0.54
2024-05-20,0.53
2024-05-21,0.59
2024-05-22,0.57
2024-05-23,0.65
2024-05-24,0.67
2024-05-28,0.56
2024-05-29,0.68
2024-05-30,0.87
2024-05-31,0.73
2024-06-03,0.58
2024-06-04,0.61
2024-06-05,0.75
2024-06-06,0.59
2024-06-07,0.58
2024-06-10,0.58
2024-06-11,0.59
2024-06-12,0.53
2024-06-13,0.87
2024-06-14,0.58
2024-06-17,0.62
2024-06-18,0.58
2024-06-20,0.62
2024-06-21,0.63
2024-06-24,0.58
2024-06-25,0.59
2024-06-26,0.54
2024-06-27,0.76
2024-06-28,0.64
2024-07-01,0.56
2024-07-02,0.7
2024-07-03,0.51
2024-07-05,0.56
