Date,survey_bearmarket_close
2024-04-08,0.13
2024-04-09,0.12
2024-04-10,0.14
2024-04-11,0.15
2024-04-12,0.16
2024-04-15,0.17
2024-04-16,0.19
2024-04-17,0.18
2024-04-18,0.18
2024-04-19,0.18
2024-04-22,0.17
2024-04-23,0.17
2024-04-24,0.16
2024-04-25,0.17
2024-04-26,0.16
2024-04-29,0.16
2024-04-30,0.18
2024-05-01,0.18
2024-05-02,0.18
2024-05-03,0.16
2024-05-06,0.17
2024-05-07,0.17
2024-05-08,0.17
2024-05-09,0.15
2024-05-10,0.15
2024-05-13,0.14
2024-05-14,0.14
2024-05-15,0.14
2024-05-16,0.14
2024-05-17,0.14
2024-05-20,0.15
2024-05-21,0.15
2024-05-22,0.15
2024-05-23,0.17
2024-05-24,0.17
2024-05-28,0.18
2024-05-29,0.2
2024-05-30,0.2
2024-05-31,0.18
2024-06-03,0.18
2024-06-04,0.19
2024-06-05,0.18
2024-06-06,0.18
2024-06-07,0.19
2024-06-10,0.18
2024-06-11,0.19
2024-06-12,0.19
2024-06-13,0.19
2024-06-14,0.2
2024-06-17,0.19
2024-06-18,0.2
2024-06-20,0.19
2024-06-21,0.18
2024-06-24,0.17
2024-06-25,0.19
2024-06-26,0.19
2024-06-27,0.19
2024-06-28,0.18
2024-07-01,0.21
2024-07-02,0.2
2024-07-03,0.21
2024-07-05,0.2
